Anios,Total,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de M�xico,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,M�xico,Michoac�n de Ocampo,Morelos,Nayarit,Nuevo Le�n,Oaxaca,Puebla,Quer�taro,Quintana Roo,San Luis Potos�,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucat�n,Zacatecas
1995,11317646,156608,634082,104468,87641,326437,72666,149357,650550,2132325,185244,458671,252438,240046,1020996,542733,426352,212206,88616,664475,123467,386052,140961,70286,219734,349378,145456,192741,479854,58554,400793,160504,183955
1996,11750028,174563,686307,113638,81737,329371,129096,166527,696884,2067206,189074,450329,227369,264301,1016481,722071,436961,228450,97429,686011,129031,402092,172128,112821,234944,298471,159335,136149,511131,60922,441471,134398,193330
1997,12585187,159839,743823,116180,87350,361632,75988,189183,751484,2100283,200835,483742,248587,281948,1077616,864567,498363,214390,100985,721871,158036,431931,178440,121778,249601,285688,279491,149600,551036,64161,496026,132085,208648
1998,13562820,171667,655690,165543,52057,345526,75345,202144,824004,2541957,211276,473706,291032,306708,1099757,1040041,523403,235151,119650,772219,166263,427038,200132,80725,278095,320788,238317,157638,624477,80459,510848,154417,216747
1999,14385864,176712,718362,164667,66409,359707,63214,209692,750834,2631169,217935,561620,353595,325429,1114421,1116757,588351,220246,107973,830879,174398,448769,201219,104539,295683,359467,354696,179007,647492,86215,557261,175384,223762
2000,15611916,198046,752607,185233,73644,334131,73137,222570,811990,2511543,164791,599774,346367,363565,1303109,1268894,686611,221609,118177,952866,184556,523127,231004,142093,330168,386732,514396,187642,734129,96942,611618,214190,266655
2001,17300530,226097,869588,204063,80316,490912,112672,237304,959742,2407362,239412,685177,338715,423860,1376637,1352233,738595,164261,138186,1134033,220228,581218,266288,139661,403958,527086,566820,207108,861147,101056,672891,238881,335023
2002,18784594,244032,983260,230767,90883,623416,124629,257404,992990,2321702,240631,768381,381599,468833,1681096,1184969,821588,198490,160290,1248474,270916,604097,298504,122894,440586,577708,662100,218025,1104059,113018,735328,265907,348018
2003,19806960,265690,1209643,257872,106062,589957,135382,294936,985442,2260123,289369,812978,424190,514220,1814156,1363360,962836,235420,159730,1336726,287696,624306,325081,119925,466055,521294,706384,217777,961311,108612,800799,295795,353833
2004,20878438,295160,1061369,292890,131339,620900,146937,285207,934523,2556032,301701,887591,553945,565852,1940129,1229299,971331,255719,203966,1455463,243231,703813,251256,188329,485313,537275,804810,224046,996448,124732,930605,337669,361558
2005,22138478,316559,1187451,321122,97928,622732,160842,304827,1001292,2696220,309947,914635,717576,613043,2066373,1473208,1012983,289315,234897,1451581,284563,751523,271896,224246,547556,573867,599007,250576,971514,130649,1004913,344530,391107
2006,24907229,347133,1281923,373955,164682,626344,179888,331147,1105386,3079690,353509,1019987,543549,683753,2207186,2162035,1187286,257477,259769,1605120,260788,863728,296942,307823,611205,677608,709713,287137,1054922,182229,1138977,342447,403891
2007,26747197,375438,1362035,401796,175095,646417,193409,470461,1099296,3423719,375933,1100872,561705,753772,2381424,2212903,1262453,306824,271408,1743646,294396,970154,329617,358642,691005,753206,798405,322139,876005,184388,1244242,382235,424157
2008,29287903,397205,1442539,435130,196759,703447,207707,526651,1135634,3922587,385321,1202989,606415,806457,2592027,2592796,1430938,353255,296467,1812944,308847,1065016,395483,400961,744984,818547,855110,358228,892820,192799,1316781,422204,468855
2009,30890136,411864,1475939,470410,169739,679745,214082,561920,1181161,4120535,432122,1251246,666071,821939,2659712,2913512,1499714,358219,309753,1890350,356439,1138679,426844,427389,776561,854368,889176,388266,932874,207279,1420654,492699,490875
2010,31635012,430807,887957,491070,193774,707121,224012,597072,1214904,4166756,434032,1292029,714651,850074,2754043,3116697,1631215,393444,327257,1975586,383385,1207576,458836,452198,804579,874178,928336,412009,974099,212363,1506327,513792,504833
2011,33275469,444089,917710,513262,192858,669216,239191,631045,1183578,4396912,448891,1345165,766356,869079,2861984,3651210,1705626,430372,344019,2084551,410571,1274347,469595,477732,837275,921540,891539,424349,1011735,227680,1595319,546483,492190
2012,34875837,453992,1017113,403730,216918,706416,272760,669892,1229700,4615276,482018,1413600,828907,890710,2902432,4188044,1787512,457404,357431,2183614,436995,1334844,506714,510952,873672,981918,744447,455002,1038216,249495,1650671,575850,439592
2013,36744838,470891,1072808,414151,240445,724207,268303,692111,1329906,4787187,502479,1511212,897975,919436,2953747,4667653,1935650,496008,370302,2297443,459248,1351836,503222,544365,920466,1038837,779137,483749,1074399,276973,1733364,605560,421768
2014,38027171,488484,1100840,430758,266161,730670,283275,736909,1424601,4737749,533546,1610498,974898,945126,3112643,5185808,2095264,538864,380870,1797854,491863,1315969,574129,587888,962276,1099123,834881,513433,1108978,336104,1797417,638250,392042
2015,40225996,516274,1123118,435662,262109,741515,298088,767497,1487207,5247604,561927,1746865,1029881,982192,3268321,5917351,1993193,550063,387063,1865729,513339,1366819,512754,634906,1015343,1137857,850974,546970,1132124,397124,1857852,674366,403909
2016,42932567,543800,1169911,457900,284605,800196,312913,809822,1634548,5725574,595014,1883204,1076055,1014157,3429847,6549299,2078184,576327,396424,1997592,527466,1419604,498347,688047,1074426,1176099,967700,568367,1154222,445909,1919354,722719,434935
